City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
174,Zamora,EC,-4.0692,-78.9567,68.09,98,91,0.96,light rain
175,Port Augusta,AU,-32.5,137.7667,77.61,35,5,7.31,clear sky
176,Thompson,CA,55.7435,-97.8558,33.96,64,100,11.5,overcast clouds
177,Soubre,CI,5.7856,-6.6083,75.42,95,97,1.92,overcast clouds
178,Jamestown,US,42.097,-79.2353,37.18,53,0,10.36,clear sky
179,Huangnihe,CN,43.5583,128.0239,59.65,39,85,6.06,overcast clouds
180,Narsaq,GL,60.9167,-46.05,32.22,58,100,2.35,overcast clouds
181,Hokitika,NZ,-42.7167,170.9667,56.66,69,99,2.57,overcast clouds
182,Codrington,AU,-38.2667,141.9667,61.32,50,91,11.74,overcast clouds
183,Yerbogachen,RU,61.2767,108.0108,19.83,90,73,4.05,broken clouds
184,Jalu,LY,29.0331,21.5482,67.78,27,0,18.99,clear sky
185,Qui Nhon,VN,13.7667,109.2333,74.93,84,28,3.04,scattered clouds
186,Luderitz,NA,-26.6481,15.1594,72.99,45,0,10.45,clear sky
187,Katsuura,JP,35.1333,140.3,64.94,80,100,13.89,overcast clouds
188,Kalmunai,LK,7.4167,81.8167,77.34,86,71,4.5,broken clouds
189,Touros,BR,-5.1989,-35.4608,80.46,82,100,11.14,overcast clouds
190,Saint-Pierre,RE,-21.3393,55.4781,76.68,78,75,12.66,broken clouds
191,Sitka,US,57.0531,-135.33,51.69,30,20,5.75,few clouds
192,Palana,RU,59.1167,159.9667,20.16,89,100,13.98,overcast clouds
193,Carlisle,US,40.2015,-77.1889,45.82,55,83,1.99,broken clouds
194,Lorengau,PG,-2.0226,147.2712,84.6,75,64,10.13,broken clouds
195,Puerto Ayora,EC,-0.7393,-90.3518,78.55,94,95,5.99,overcast clouds
196,Cherskiy,RU,68.75,161.3,-6.77,87,100,6.55,overcast clouds
197,Sukhobezvodnoye,RU,57.0491,44.8891,42.69,95,100,8.08,overcast clouds
198,Englewood,US,39.6478,-104.9878,55.47,11,40,16.11,scattered clouds
199,Katobu,ID,-4.9408,122.5276,81.18,76,56,2.01,broken clouds
200,Half Moon Bay,US,37.4636,-122.4286,67.62,58,0,35.68,haze
201,Buala,SB,-8.145,159.5921,81.07,79,94,4.45,overcast clouds
202,Beckley,US,37.7782,-81.1882,52.21,35,0,3.44,clear sky
203,Porto Novo,BJ,6.4965,2.6036,82.22,85,36,4.14,scattered clouds
204,Cidreira,BR,-30.1811,-50.2056,71.96,87,100,19.75,overcast clouds
205,Nola,IT,40.922,14.5329,49.93,54,1,5.23,clear sky
206,Geraldton,AU,-28.7667,114.6,63.01,94,75,8.05,broken clouds
207,Pilar,BR,-9.5972,-35.9567,73.33,84,7,3.51,clear sky
208,Thaton,MM,16.9206,97.3714,79.34,72,10,1.7,clear sky
209,Armacao De Pera,PT,37.1026,-8.357,60.71,86,93,6.73,overcast clouds
210,Aguas Vermelhas,BR,-15.7472,-41.46,70.93,76,62,2.68,broken clouds
211,Vulcan,RO,45.3833,23.2667,34.0,91,100,7.16,light snow
212,Asau,RO,46.4333,26.4,41.95,73,100,6.44,overcast clouds
213,Villazon,BO,-22.0866,-65.5942,58.55,12,41,7.9,scattered clouds
214,Tahe,CN,52.3333,124.7333,29.55,81,100,7.63,overcast clouds
215,Urbano Santos,BR,-3.2078,-43.4036,73.71,98,98,2.8,overcast clouds
216,Zhigalovo,RU,54.8097,105.1578,29.73,88,100,4.25,overcast clouds
217,Okha,RU,53.5739,142.9478,28.81,85,100,14.99,overcast clouds
218,Dunedin,NZ,-45.8742,170.5036,58.98,54,0,2.73,clear sky
219,Republic,US,37.12,-93.4802,73.47,51,40,25.32,scattered clouds
220,La Ronge,CA,55.1001,-105.2842,21.45,68,75,17.27,broken clouds
221,Carnarvon,AU,-24.8667,113.6333,66.27,68,3,9.22,clear sky
222,Sankheda,IN,22.1667,73.5833,78.58,45,3,4.81,clear sky
223,Charters Towers,AU,-20.1,146.2667,81.03,62,74,9.93,broken clouds
224,Sao Joao Da Barra,BR,-21.6403,-41.0511,74.97,89,20,8.93,few clouds
225,Abnub,EG,27.2696,31.1511,71.82,23,27,6.73,scattered clouds
