City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
94,Polson,US,2022-04-05 02:20:10,47.6936,-114.1632,41.49,55,98,15.99
95,Yulara,AU,2022-04-05 02:20:10,-25.2406,130.9889,89.44,12,1,4.61
96,Ribeira Grande,PT,2022-04-05 02:20:11,38.5167,-28.7,60.17,74,35,7.9
97,Tuy Hoa,VN,2022-04-05 02:20:11,13.0833,109.3,73.72,92,100,10.22
98,Menongue,AO,2022-04-05 02:20:12,-14.6585,17.691,63.57,92,100,2.46
99,Tual,ID,2022-04-05 02:20:12,-5.6667,132.75,82.29,67,12,3.27
100,Aklavik,CA,2022-04-05 02:20:13,68.2191,-135.0107,-7.94,83,100,5.86
101,Camana,PE,2022-04-05 02:20:14,-16.6228,-72.7111,69.08,84,83,4.7
102,Belyy Yar,RU,2022-04-05 02:20:14,53.6039,91.3903,37.85,87,100,0.0
103,Quelimane,MZ,2022-04-05 02:20:15,-17.8786,36.8883,76.95,94,0,4.61
104,College,US,2022-04-05 02:20:15,64.8569,-147.8028,24.08,55,75,8.05
105,Leh,IN,2022-04-05 02:18:36,34.1667,77.5833,26.92,62,5,4.25
106,Vinukonda,IN,2022-04-05 02:20:16,16.05,79.75,79.36,77,90,8.03
107,Heilbron,ZA,2022-04-05 02:20:17,-27.2812,27.9709,52.29,95,0,5.1
108,Ishigaki,JP,2022-04-05 02:20:17,24.3448,124.1572,73.53,64,20,13.8
109,Winslow,US,2022-04-05 02:20:18,35.0242,-110.6974,68.18,15,0,0.0
110,Rey Bouba,CM,2022-04-05 02:20:18,8.6724,14.1786,83.14,46,100,0.34
111,Saldanha,ZA,2022-04-05 02:20:19,-33.0117,17.9442,59.94,87,17,9.13
112,Kaitangata,NZ,2022-04-05 02:20:19,-46.2817,169.8464,68.47,60,100,4.63
113,Rock Sound,BS,2022-04-05 02:20:20,24.9,-76.2,76.73,80,4,14.63
114,Dingle,PH,2022-04-05 02:20:21,10.9995,122.6711,85.96,65,100,11.7
115,Kloulklubed,PW,2022-04-05 02:20:21,7.0419,134.2556,81.1,76,99,4.41
116,Mount Gambier,AU,2022-04-05 02:20:22,-37.8333,140.7667,62.29,58,100,4.43
117,Sweetwater,US,2022-04-05 02:20:23,25.7634,-80.3731,79.0,90,20,9.22
118,Jiaojiang,CN,2022-04-05 02:20:23,28.6803,121.4428,68.0,56,40,4.52
119,Sistranda,NO,2022-04-05 02:17:34,63.7256,8.834,22.96,48,66,14.43
120,Sitka,US,2022-04-05 02:20:24,57.0531,-135.33,44.49,65,100,12.66
121,Vaini,TO,2022-04-05 02:20:24,-21.2,-175.2,80.76,83,75,6.91
122,Pangnirtung,CA,2022-04-05 02:20:25,66.1451,-65.7125,5.09,97,100,1.92
123,Yumen,CN,2022-04-05 02:20:25,40.2833,97.2,56.26,13,0,2.19
124,Cozumel,MX,2022-04-05 02:20:26,20.5083,-86.9458,78.87,90,20,4.61
125,Vuktyl,RU,2022-04-05 02:20:26,63.8567,57.3094,7.05,100,100,5.82
126,Havoysund,NO,2022-04-05 02:20:27,70.9963,24.6622,25.03,72,100,13.73
127,Sabang,ID,2022-04-05 02:20:27,5.8933,95.3214,81.23,71,100,3.91
128,Aasiaat,GL,2022-04-05 02:20:28,68.7098,-52.8699,19.2,99,88,8.66
129,Torbay,CA,2022-04-05 02:17:48,47.6666,-52.7314,37.89,96,100,25.32
130,Lazaro Cardenas,MX,2022-04-05 02:20:28,17.9583,-102.2,72.46,78,43,6.82
131,Thohoyandou,ZA,2022-04-05 02:18:39,-22.9456,30.485,67.59,90,89,2.59
132,Butaritari,KI,2022-04-05 02:20:29,3.0707,172.7902,81.99,80,25,15.66
133,Kedrovyy,RU,2022-04-05 02:20:29,56.1667,91.8167,34.21,100,100,5.35
134,Yashkul,RU,2022-04-05 02:19:13,46.1711,45.3435,41.16,64,100,8.16
135,Halifax,CA,2022-04-05 02:16:56,44.6453,-63.5724,32.47,86,84,28.01
136,Tiksi,RU,2022-04-05 02:21:31,71.6872,128.8694,-3.73,99,100,4.36
137,Isla Mujeres,MX,2022-04-05 02:21:32,21.2311,-86.731,80.65,75,0,14.05
138,Zhigansk,RU,2022-04-05 02:21:32,66.7697,123.3711,1.96,87,83,16.71
139,Vestmannaeyjar,IS,2022-04-05 02:21:33,63.4427,-20.2734,35.71,74,100,21.61
140,Cabo San Lucas,MX,2022-04-05 02:21:33,22.8909,-109.9124,70.61,68,20,11.5
141,Yellowknife,CA,2022-04-05 02:21:34,62.456,-114.3525,39.29,69,75,5.75
142,Ahipara,NZ,2022-04-05 02:21:34,-35.1667,173.1667,71.89,76,100,7.61
143,Mpika,ZM,2022-04-05 02:21:34,-11.8343,31.4529,61.66,97,100,3.11
144,Miandrivazo,MG,2022-04-05 02:21:35,-19.5167,45.4667,73.22,72,0,2.73
145,Kununurra,AU,2022-04-05 02:21:35,-15.7667,128.7333,93.18,52,6,5.75
146,Hobart,AU,2022-04-05 02:21:36,-42.8794,147.3294,62.02,67,75,13.8
147,Sladkovo,RU,2022-04-05 02:21:36,55.5284,70.3385,41.02,84,100,12.33
148,Hirara,JP,2022-04-05 02:21:37,24.8,125.2833,73.26,60,75,11.5
149,Deputatskiy,RU,2022-04-05 02:21:37,69.3,139.9,-1.37,90,99,4.0
150,Jaipur,IN,2022-04-05 02:21:38,26.9167,75.8167,76.32,31,57,1.14
